start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,transaction_type
2024-07-28 23:29:08.980587 +0000 UTC m=+8.980587,2024-07-28 23:29:10.028032 +0000 UTC m=+10.028032,1.047445,1000,954.7040656072634,1047.445,insertion
2024-07-28 23:29:15.033388 +0000 UTC m=+15.033388,2024-07-28 23:29:16.061030 +0000 UTC m=+16.061030,1.027642,1000,973.1015275747781,1027.642,insertion
2024-07-28 23:29:21.066392 +0000 UTC m=+21.066392,2024-07-28 23:29:22.029864 +0000 UTC m=+22.029864,0.963472,1000,1037.912881744358,963.472,insertion
2024-07-28 23:29:27.035209 +0000 UTC m=+27.035209,2024-07-28 23:29:28.145593 +0000 UTC m=+28.145593,1.110384,1000,900.589345667805,1110.384,insertion
2024-07-28 23:29:33.150957 +0000 UTC m=+33.150957,2024-07-28 23:29:34.209294 +0000 UTC m=+34.209294,1.058337,1000,944.8786161685738,1058.337,insertion
2024-07-28 23:29:39.214651 +0000 UTC m=+39.214651,2024-07-28 23:29:40.230794 +0000 UTC m=+40.230794,1.016143,1000,984.1134564721698,1016.143,insertion
2024-07-28 23:29:45.236144 +0000 UTC m=+45.236144,2024-07-28 23:29:46.289336 +0000 UTC m=+46.289336,1.053192,1000,949.4944891339851,1053.192,insertion
2024-07-28 23:29:51.294668 +0000 UTC m=+51.294668,2024-07-28 23:29:51.306950 +0000 UTC m=+51.306950,0.012282,1000,81419.96417521576,12.282,deletion
2024-07-28 23:29:51.307390 +0000 UTC m=+51.307390,2024-07-28 23:29:52.450814 +0000 UTC m=+52.450814,1.143424,1000,874.566215157282,1143.424,insertion
2024-07-28 23:29:57.456215 +0000 UTC m=+57.456215,2024-07-28 23:29:58.522874 +0000 UTC m=+58.522874,1.066659,1000,937.5067383296818,1066.659,insertion
